x1v,mass,momx,energy,rho,vx,press
0.00390625,0.9999999999496464,5.678081938605446e-11,2.49999999983204,0.9999999999496464,5.678081938891358e-11,0.9999999999328159
0.01171875,0.9999999998260558,1.9850550434940273e-10,2.4999999994128133,0.9999999998260558,1.985055043839316e-10,0.9999999997651251
0.01953125,0.9999999994387715,6.440565617954715e-10,2.499999998094855,0.9999999994387715,6.440565621569345e-10,0.9999999992379418
0.02734375,0.9999999982887331,1.972516014198738e-09,2.499999994165219,0.9999999982887331,1.9725160175742397e-09,0.9999999976660874
0.03515625,0.9999999950314199,5.747559960668626e-09,2.4999999829984882,0.9999999950314199,5.7475599892258385e-09,0.999999993199395
0.04296875,0.9999999861976938,1.601373776891919e-08,2.4999999526307235,0.9999999861976938,1.6013737989945705e-08,0.9999999810522892
0.05078125,0.999999963192339,4.2813062478766766e-08,2.4999998733572504,0.999999963192339,4.2813064054615515e-08,0.9999999493428996
0.05859375,0.9999999055369444,1.1011503819105818e-07,2.499999674275314,0.9999999055369444,1.1011504859286214e-07,0.9999998697101229
0.06640625,0.9999997662639537,2.7298318917368334e-07,2.499999192504779,0.9999997662639537,2.729832529797096e-07,0.9999996770018965
0.07421875,0.9999994416035376,6.532488580010394e-07,2.4999980676635047,0.9999994416035376,6.532492227730944e-07,0.9999992270653164
0.08203125,0.9999987106021451,1.5106528886752424e-06,2.499995531426858,0.9999987106021451,1.510654836510348e-06,0.9999982125702865
0.08984375,0.9999971197708507,3.378891373340148e-06,2.499990005096535,0.9999971197708507,3.378901105349604e-06,0.9999960020363305
0.09765625,0.999993771982752,7.314798407383288e-06,2.49997836249787,0.999993771982752,7.314843964357664e-06,0.9999913449884464
0.10546875,0.9999869570544262,1.5334740406406032e-05,2.4999546390684735,0.9999869570544262,1.5334940419199296e-05,0.9999818555803577
0.11328125,0.9999735350733608,3.1143619654845884e-05,2.4999078752861252,0.9999735350733608,3.114444389026866e-05,0.9999631499204598
0.12109375,0.9999479572954966,6.129268569766211e-05,2.499818691335376,0.9999479572954966,6.129587570080849e-05,0.9999274757827524
0.12890625,0.9999007944220792,0.00011691974044814714,2.499654137973147,0.9999007944220792,0.00011693134068937729,0.9998616524549422
0.13671875,0.9998166559114167,0.00021620814617388798,2.4993604182077944,0.9998166559114167,0.00021624779392857396,0.9997441579322106
0.14453125,0.9996714479823166,0.00038762157353812297,2.4988533067628786,0.9996714479823166,0.00038774896924432286,0.9995412926451781
0.15234375,0.9994290547334105,0.0006738031540703986,2.498006586301298,0.9994290547334105,0.000674188078562645,0.9992025436665082
0.16015625,0.9990377423132243,0.0011357610260283695,2.496639597820648,0.9990377423132243,0.0011368549734653358,0.9986555808891449
0.16796875,0.9984268551723576,0.0018566259365838706,2.494505981193745,0.9984268551723576,0.0018595512800618356,0.9978017019792705
0.17578125,0.9975046267116667,0.002943945992867104,2.4912866094306,0.9975046267116667,0.002951310614540202,0.9965129060724283
0.18359375,0.9961580528619615,0.00452931914651246,2.486590188936019,0.9961580528619615,0.004546787664366843,0.9946319568039227
0.19140625,0.994255657140127,0.0067643118623251335,2.4799645592376454,0.994255657140127,0.0068033928836592926,0.9919766196408206
0.19921875,0.9916535436198277,0.009812167468479287,2.470920115800247,0.9916535436198277,0.009894753597775674,0.9883486285242264
0.20703125,0.988204440102994,0.013835717160557263,2.4589641644259648,0.988204440102994,0.01400086520468908,0.9835469233681907
0.21484375,0.9837686629794102,0.01898293458308869,2.4436420832611714,0.9837686629794102,0.019296136680749296,0.9773835738444049
0.22265625,0.9782253519639945,0.02537236367179315,2.424578941478256,0.9782253519639945,0.02593713567211559,0.9696999593035267
0.23046875,0.9714821339111814,0.03308088486809954,2.401514580767943,0.9714821339111814,0.034051974517447986,0.9603805384174684
0.23828125,0.9634817678861916,0.04213581558544483,2.3743265270258056,0.9634817678861916,0.043732862405780365,0.9493620668452513
0.24609375,0.9542053246531793,0.05251222625337699,2.3430383339238645,0.9542053246531793,0.05503241796776115,0.9366373586128268
0.25390625,0.9436715016272305,0.06413567661142207,2.307812731558701,0.9436715016272305,0.06796398587943898,0.9222533093795627
0.26171875,0.9319317770730988,0.0768899161753947,2.268930631195319,0.9319317770730988,0.08250594954158712,0.9063034773692825
0.26953125,0.919063763965525,0.0906270841745907,2.2267631117198623,0.919063763965525,0.09860804845961722,0.8889179327063363
0.27734375,0.9051644177256751,0.10517825165398416,2.181742545091713,0.9051644177256751,0.1161979521005212,0.8702527185471437
0.28515625,0.8903430615276337,0.12036377897083693,2.1343340905744586,0.8903430615276337,0.13518809116602656,0.8504792863248639
0.29296875,0.8747150689184049,0.13600237201960794,2.0850107048634876,0.8747150689184049,0.15548191274191311,0.8297751001575857
0.30078125,0.8583966487620392,0.15191829166317006,2.0342331959160367,0.8583966487620392,0.1769791294994724,0.8083160049636955
0.30859375,0.8415008601413552,0.16794659473832213,1.98243566598074,0.8415008601413552,0.19957982539686353,0.7862705159815214
0.31640625,0.8241348338035296,0.18393653692460724,1.9300160109157387,0.8241348338035296,0.22318743169210217,0.7637959397121868
0.32421875,0.8063980932748527,0.1997534828483547,1.877330587518472,0.8063980932748527,0.24771075789271582,0.7410360176817735
0.33203125,0.7883825940519665,0.21527906332544822,1.824694310821303,0.7883825940519665,0.27306420125157915,0.7181207232338908
0.33984375,0.770174256451437,0.2304091255009345,1.7723873806239776,0.770174256451437,0.2991649273796038,0.6951688863899739
0.34765625,0.7518506362438677,0.24505372721562516,1.7206536908437586,0.7518506362438677,0.3259340557851711,0.672287205298171
0.35546875,0.733477480652088,0.2591403184379423,1.6696897908168205,0.733477480652088,0.3533037145292548,0.6495648689090443
