x1v,mass,momx,energy,rho,vx,press
0.00390625,1.0,0.0,2.5000000000000004,1.0,0.0,1.0
0.01171875,1.0,8.099940145937987e-17,2.5000000000000004,1.0,8.099940145937987e-17,1.0
0.01953125,0.9999999999999994,7.289924907486991e-16,2.4999999999999982,0.9999999999999994,7.289924907486995e-16,0.9999999999999991
0.02734375,0.9999999999999942,6.8849216864192826e-15,2.49999999999998,0.9999999999999942,6.884921686419322e-15,0.9999999999999918
0.03515625,0.9999999999999499,5.933180911455262e-14,2.499999999999825,0.9999999999999499,5.933180911455559e-14,0.9999999999999298
0.04296875,0.9999999999996187,4.5124552010970323e-13,2.4999999999986655,0.9999999999996187,4.512455201098753e-13,0.999999999999466
0.05078125,0.9999999999974049,3.0705901798601165e-12,2.499999999990917,0.9999999999974049,3.070590179868085e-12,0.9999999999963666
0.05859375,0.9999999999840843,1.883180686775911e-11,2.4999999999442952,0.9999999999840843,1.883180686805883e-11,0.9999999999777178
0.06640625,0.9999999999114528,1.047704077700824e-10,2.499999999690085,0.9999999999114528,1.0477040777935953e-10,0.9999999998760337
0.07421875,0.999999999550568,5.317750714964363e-10,2.499999998426988,0.999999999550568,5.31775071735433e-10,0.999999999370795
0.08203125,0.9999999979088592,2.4742712138025106e-09,2.4999999926810075,0.9999999979088592,2.47427121897656e-09,0.9999999970724027
0.08984375,0.9999999910436421,1.0597305573724784e-08,2.499999968652748,0.9999999910436421,1.0597305668638046e-08,0.999999987461099
0.09765625,0.9999999645621068,4.193067875406505e-08,2.499999875967379,0.9999999645621068,4.193068024000002e-08,0.999999950386951
0.10546875,0.9999998700569229,1.5375069724081935e-07,2.4999995451992882,0.9999998700569229,1.5375071721966065e-07,0.9999998180797103
0.11328125,0.999999557227912,5.238947267492926e-07,2.4999984502983095,0.999999557227912,5.238949587153573e-07,0.9999993801192687
0.12109375,0.9999985946002844,1.6628887729949267e-06,2.4999950811067895,0.9999985946002844,1.6628911100216198e-06,0.9999980324421626
0.12890625,0.9999958357103468,4.927232388493344e-06,2.499985425033852,0.9999958357103468,4.927252907001644e-06,0.999994170008685
0.13671875,0.9999884594089729,1.3654854012609232e-05,2.499959608275469,0.9999884594089729,1.3655011599513573e-05,0.999983843272896
0.14453125,0.9999700361537633,3.545268929753439e-05,2.4998951287278883,0.9999700361537633,3.545375162829669e-05,0.999958051239769
0.15234375,0.9999270015016594,8.636724656978879e-05,2.4997445175705053,0.9999270015016594,8.637355170935993e-05,0.9998978055362326
0.16015625,0.9998328952285307,0.0001976921785949794,2.499415194661419,0.9998328952285307,0.00019772521942258472,0.9997660700468214
0.16796875,0.9996400802594487,0.00042573404460405855,2.4987405525059296,0.9996400802594487,0.0004258873298613263,0.9994961847394245
0.17578125,0.9992696157499757,0.0008636909833996866,2.4974447258223655,0.9992696157499757,0.0008643222707732046,0.9989777410274756
0.18359375,0.9986015163460095,0.0016528949757846018,2.4951090775483777,0.9986015163460095,0.0016552097595772962,0.9980430838417718
0.19140625,0.9974692657838099,0.0029886448285959396,2.4911543296390017,0.9974692657838099,0.002996227484009211,0.9964599409236454
0.19921875,0.9956630832472545,0.0051150485303858234,2.4848545853058166,0.9956630832472545,0.005137328697277406,0.9939365785852057
0.20703125,0.9929449256518916,0.008305159664253407,2.4753940166647883,0.9929449256518916,0.008364169501949844,0.9901437135132806
0.21484375,0.989074374113828,0.012827540762878543,2.461962925243635,0.989074374113828,0.012969237803144499,0.9847518974121371
0.22265625,0.9838399178782183,0.01890636369092434,2.4438726728143636,0.9838399178782183,0.019216910543433153,0.9774764047457951
0.23046875,0.9770873236847928,0.0266858899526067,2.4206583506721633,0.9770873236847928,0.02731167348683723,0.9681175730062468
0.23828125,0.9687375919563855,0.0362091550142907,2.392141089622125,0.9687375919563855,0.03737767101735524,0.9565857530720616
0.24609375,0.9587909914802702,0.04741537858944048,2.358437115449323,0.9587909914802702,0.049453300052638406,0.9429058767908304
0.25390625,0.9473184729294292,0.06015413592067756,2.3199191115536903,0.9473184729294292,0.063499380239742,0.9272036945515119
0.26171875,0.9344450028020265,0.07420992591142715,2.2771478929892237,0.9344450028020265,0.07941604448512357,0.9096804654402053
0.26953125,0.9203301171050994,0.08932978608991683,2.230795152505834,0.9203301171050994,0.0970627652291809,0.8905839417912895
0.27734375,0.9051498585419058,0.10524825402442478,2.181573372209375,0.9051498585419058,0.11627715900433087,0.8701817552901246
0.28515625,0.8890824081533917,0.12170661879970818,2.1301815514965887,0.8890824081533917,0.13689014390970872,0.848740533286184
0.29296875,0.8722980754389124,0.1384657350717567,2.0772688591298185,0.8722980754389124,0.1587367196724413,0.8265116243374624
0.30078125,0.8549532592217092,0.15531313265273206,2.023414215336303,0.8549532592217092,0.18166271778894497,0.803722764977319
0.30859375,0.8371875206116729,0.17206577491830768,1.969118061059398,0.8371875206116729,0.20552835617113782,0.7805743452493045
0.31640625,0.8191228347383751,0.18856987422481908,1.9148024047217733,0.8191228347383751,0.2302095195344513,0.7572388458599156
0.32421875,0.8008642167122662,0.204698945817926,1.8608158587215629,0.8008642167122662,0.2555975676604241,0.733862232957882
0.33203125,0.7825011137418275,0.22035097099383624,1.8074412370873256,0.7825011137418275,0.281598284173864,0.7105664037653482
0.33984375,0.7641091454412386,0.2354452508680232,1.754904088407514,0.7641091454412386,0.30813039246122903,0.6874520678523862
0.34765625,0.7457519280254586,0.24991930440402838,1.7033811713032896,0.7457519280254586,0.3351239132103143,0.6646016814655801
